X_Value,Untitled,Untitled1
0.000000,18.345623,0.236024
0.000100,16.629440,0.363170
0.000200,17.964249,4.209330
0.000300,15.072162,0.585675
0.000400,17.010814,0.394956
0.000500,17.296844,-0.781143
0.000600,17.201501,0.458529
0.000700,17.646437,0.522102
0.000800,17.423969,0.522102
0.000900,17.328626,0.458529
0.001000,17.328626,0.522102
0.001100,17.360407,0.363170
0.001200,17.201501,0.490315
0.001300,17.360407,0.617461
0.001400,17.455750,-1.957241
0.001500,17.455750,-0.431492
0.001600,17.455750,-0.463278
0.001700,17.646437,0.267810
0.001800,17.455750,0.935326
0.001900,29.437253,1.888919
0.002000,17.392188,2.524648
0.002100,17.233282,-0.526851
0.002200,-10.289214,0.363170
0.002300,16.979033,0.299597
0.002400,16.502315,0.426743
0.002500,17.710000,0.490315
0.002600,18.758778,0.458529
0.002700,17.678218,0.299597
0.002800,18.536310,0.426743
0.002900,12.656793,0.458529
0.003000,17.360407,0.394956
0.003100,17.265063,0.426743
0.003200,17.137938,0.553888
0.003300,17.455750,0.712821
0.003400,17.741781,0.363170
0.003500,17.169720,0.490315
0.003600,17.265063,0.426743
0.003700,17.360407,0.299597
0.003800,17.137938,0.426743
0.003900,17.265063,0.681034
0.004000,17.106157,0.744607
0.004100,17.201501,-0.336132
0.004200,17.328626,-1.798309
0.004300,17.137938,0.998899
0.004400,17.074376,0.458529
0.004500,17.010814,3.414669
0.004600,17.137938,0.426743
0.004700,17.169720,0.363170
0.004800,17.328626,0.458529
0.004900,15.898473,0.426743
0.005000,17.582875,0.458529
0.005100,17.710000,0.458529
0.005200,16.470534,0.394956
0.005300,20.347837,0.585675
0.005400,17.201501,0.490315
0.005500,16.979033,0.458529
0.005600,17.010814,0.458529
0.005700,17.169720,0.585675
0.005800,17.010814,0.617461
0.005900,17.074376,0.363170
0.006000,16.851908,0.426743
0.006100,16.851908,0.458529
0.006200,18.440967,0.490315
0.006300,16.629440,0.331383
0.006400,16.979033,0.617461
0.006500,16.915470,1.380336
0.006600,16.851908,1.062472
0.006700,16.248066,0.744607
0.006800,16.915470,-0.431492
0.006900,16.979033,-1.798309
0.007000,16.693002,-1.130794
0.007100,16.788346,0.394956
0.007200,16.947251,0.808180
0.007300,17.741781,-4.849808
0.007400,15.135725,0.585675
0.007500,16.915470,0.458529
0.007600,15.930254,0.394956
0.007700,14.913256,0.458529
0.007800,16.724783,0.585675
0.007900,16.693002,0.458529
0.008000,16.693002,0.458529
0.008100,16.883689,0.553888
0.008200,16.343409,0.299597
0.008300,16.820127,0.490315
0.008400,16.724783,0.363170
0.008500,16.693002,0.331383
0.008600,16.724783,0.458529
0.008700,16.152722,0.681034
0.008800,16.756564,0.712821
0.008900,16.693002,-0.113627
0.009000,16.565877,0.013519
0.009100,16.724783,1.475695
0.009200,15.389974,0.617461
0.009300,16.565877,2.778940
0.009400,16.661221,3.446455
0.009500,16.724783,0.299597
0.009600,16.756564,0.458529
0.009700,16.565877,0.585675
0.009800,16.152722,0.426743
0.009900,17.900687,0.522102
0.010000,16.915470,0.394956
0.010100,17.932468,1.698201
0.010200,13.260635,0.394956
0.010300,16.565877,1.126044
0.010400,23.176361,0.394956
0.010500,16.470534,0.490315
0.010600,16.629440,0.522102
0.010700,16.057379,0.363170
0.010800,16.343409,-0.240773
0.010900,16.470534,0.426743
0.011000,16.502315,0.299597
0.011100,16.343409,0.267810
0.011200,16.597659,0.649248
0.011300,16.502315,0.617461
0.011400,16.470534,-0.145414
0.011500,16.502315,-1.067221
0.011600,16.406971,1.284977
0.011700,16.470534,0.553888
0.011800,16.438753,2.461075
0.011900,16.597659,-4.118720
0.012000,7.253993,0.331383
0.012100,20.347837,-0.367919
0.012200,16.565877,0.458529
0.012300,17.900687,1.634628
0.012400,17.074376,0.426743
0.012500,17.551094,0.426743
0.012600,16.025597,0.204237
0.012700,14.913256,0.331383
0.012800,16.470534,0.808180
0.012900,16.438753,0.426743
0.013000,16.534096,0.553888
0.013100,16.502315,1.380336
0.013200,16.502315,0.363170
0.013300,16.438753,0.108878
0.013400,16.502315,0.426743
0.013500,15.008600,0.426743
0.013600,16.470534,0.585675
0.013700,16.565877,0.236024
0.013800,16.629440,-0.272559
0.013900,16.375190,0.108878
0.014000,16.597659,1.825346
0.014100,16.502315,0.967112
0.014200,16.438753,1.475695
0.014300,16.661221,-2.847262
0.014400,16.693002,0.426743
0.014500,16.406971,0.331383
0.014600,16.089160,0.394956
0.014700,16.693002,0.490315
0.014800,18.123155,-0.081841
0.014900,20.125369,0.458529
0.015000,17.551094,-2.211533
0.015100,16.343409,0.299597
0.015200,14.659007,-0.336132
0.015300,16.693002,0.617461
0.015400,16.820127,0.458529
0.015500,16.820127,0.553888
0.015600,16.756564,0.426743
0.015700,16.788346,0.490315
0.015800,16.724783,0.649248
0.015900,16.661221,10.248756
0.016000,16.851908,0.426743
0.016100,16.883689,0.617461
0.016200,16.661221,0.681034
0.016300,16.947251,-0.685783
0.016400,16.947251,-0.208986
0.016500,16.851908,1.666414
0.016600,17.169720,0.585675
0.016700,16.979033,1.793560
0.016800,16.915470,4.241117
0.016900,17.169720,1.507482
0.017000,17.201501,0.394956
0.017100,16.661221,0.363170
0.017200,16.438753,13.459188
0.017300,18.091374,1.380336
0.017400,17.137938,0.394956
0.017500,18.536310,0.522102
0.017600,18.250280,0.649248
0.017700,18.091374,0.331383
0.017800,16.470534,0.331383
0.017900,17.106157,0.458529
0.018000,17.265063,0.490315
0.018100,17.042595,0.458529
