pulsation;gain;phase
0.1;-0.213547130814;-17.0205256115
0.12;-0.305306826792;-20.3385066934
0.14;-0.412097059885;-23.6118568515
0.16;-0.533172167383;-26.8349485459
0.18;-0.667726795796;-30.0028500763
0.2;-0.814913285257;-33.1113419604
0.22;-0.973858224032;-36.1569130203
0.24;-1.14367764599;-39.1367391051
0.26;-1.32349050198;-42.0486478243
0.28;-1.51243018967;-44.8910727938
0.3;-1.70965406311;-47.6630007661
0.32;-1.91435095632;-50.3639146962
0.34;-2.12574683984;-52.9937353549
0.36;-2.34310878791;-55.552763609
0.38;-2.5657474673;-58.0416249943
0.4;-2.79301837275;-60.4612177404
0.42;-3.02432203182;-62.8126650024
0.44;-3.25910338934;-65.0972717126
0.46;-3.49685056136;-67.3164861974
0.48;-3.73709312516;-69.4718664964
0.5;-3.97940008672;-71.5650511771
0.52;-4.22337764301;-73.5977343404
0.54;-4.4686668335;-75.571644455
0.56;-4.71494115541;-77.4885266326
0.58;-4.96190419927;-79.35012795
0.6;-5.20928734709;-81.1581854398
0.62;-5.4568475626;-82.9144163906
0.64;-5.70436529368;-84.6205106287
0.66;-5.95164249904;-86.2781244846
0.68;-6.19850080509;-87.8888761803
0.7;-6.44477979471;-89.4543424066
0.72;-6.69033542601;-90.9760558881
0.74;-6.93503857681;-92.4555037639
0.76;-7.17877370919;-93.8941266351
0.78;-7.42143764717;-95.2933181535
0.8;-7.66293846021;-96.654425046
0.82;-7.90319444493;-97.9787474862
0.84;-8.14213319752;-99.2675397377
0.86;-8.37969076942;-100.52201101
0.88;-8.61581089929;-101.743326474
0.9;-8.85044431462;-102.932608397
0.92;-9.08354809671;-104.090937363
0.94;-9.31508510338;-105.219353552
0.96;-9.54502344396;-106.318858048
0.98;-9.77333600184;-107.390414175
1.0;-10.0;-108.434948823
1.02;-10.2249966057;-109.45335378
1.04;-10.4483105703;-110.446487032
1.06;-10.6699299015;-111.415174054
1.08;-10.8898455642;-112.360209056
1.1;-11.108051208;-113.282356213
1.12;-11.3245429184;-114.182350846
1.14;-11.5393189901;-115.060900571
1.16;-11.7523797193;-115.918686412
1.18;-11.9637272143;-116.756363871
1.2;-12.1733652228;-117.57456396
1.22;-12.3812989731;-118.373894193
1.24;-12.5875350295;-119.154939546
1.26;-12.7920811598;-119.918263368
1.28;-12.9949462139;-120.664408266
1.3;-13.1961400126;-121.393896946
1.32;-13.3956732463;-122.107233026
1.34;-13.5935573815;-122.804901812
1.36;-13.7898045754;-123.487371038
1.38;-13.9844275982;-124.155091583
1.4;-14.1774397607;-124.80849815
1.42;-14.3688548496;-125.448009919
1.44;-14.5586870665;-126.074031176
1.46;-14.7469509736;-126.686951905
1.48;-14.9336614428;-127.287148369
1.5;-15.1188336098;-127.874983651
1.52;-15.3024828317;-128.450808183
1.54;-15.4846246487;-129.014960247
1.56;-15.6652747482;-129.567766455
1.58;-15.8444489331;-130.109542213
1.6;-16.0221630921;-130.640592156
1.62;-16.1984331726;-131.161210572
1.64;-16.3732751565;-131.671681808
1.66;-16.5467050377;-132.172280653
1.68;-16.7187388017;-132.663272709
1.7;-16.8893924073;-133.144914747
1.72;-17.0586817695;-133.617455043
1.74;-17.2266227446;-134.081133706
1.76;-17.3932311164;-134.536182987
1.78;-17.5585225836;-134.98282758
1.8;-17.7225127488;-135.421284904
1.82;-17.8852171082;-135.851765378
1.84;-18.0466510427;-136.274472685
1.86;-18.20682981;-136.689604019
1.88;-18.3657685371;-137.097350333
1.9;-18.5234822139;-137.497896562
1.92;-18.679985688;-137.891421851
1.94;-18.8352936594;-138.27809976
1.96;-18.9894206761;-138.658098478
1.98;-19.1423811307;-139.031581006
2.0;-19.2941892571;-139.398705355
2.02;-19.4448591276;-139.75962472
2.04;-19.5944046509;-140.114487653
2.06;-19.7428395699;-140.46343823
2.08;-19.8901774607;-140.806616209
2.1;-20.0364317312;-141.144157184
2.12;-20.1816156204;-141.476192729
2.14;-20.3257421977;-141.802850539
2.16;-20.4688243629;-142.124254569
2.18;-20.6108748461;-142.440525157
2.2;-20.7519062078;-142.751779154
2.22;-20.8919308394;-143.058130044
2.24;-21.030960964;-143.359688056
2.26;-21.1690086368;-143.656560274
2.28;-21.3060857463;-143.94885075
2.3;-21.442204015;-144.236660596
2.32;-21.5773750011;-144.520088094
2.34;-21.7116100993;-144.79922878
2.36;-21.8449205422;-145.074175542
2.38;-21.9773174023;-145.345018707
2.4;-22.1088115927;-145.61184612
2.42;-22.2394138695;-145.874743231
2.44;-22.3691348327;-146.133793171
2.46;-22.4979849288;-146.389076826
2.48;-22.6259744519;-146.640672911
2.5;-22.7531135454;-146.88865804
2.52;-22.8794122046;-147.13310679
2.54;-23.0048802779;-147.37409177
2.56;-23.1295274689;-147.611683682
2.58;-23.2533633382;-147.845951377
2.6;-23.3763973055;-148.07696192
2.62;-23.4986386516;-148.30478064
2.64;-23.6200965198;-148.529471187
2.66;-23.7407799187;-148.751095582
2.68;-23.8606977233;-148.969714268
2.7;-23.9798586775;-149.185386158
2.72;-24.0982713957;-149.398168683
2.74;-24.2159443651;-149.608117834
2.76;-24.3328859472;-149.815288208
2.78;-24.4491043799;-150.019733049
2.8;-24.5646077795;-150.221504287
2.82;-24.6794041425;-150.420652579
2.84;-24.7935013474;-150.617227347
2.86;-24.9069071565;-150.811276812
2.88;-25.0196292181;-151.002848031
2.9;-25.1316750677;-151.191986931
2.92;-25.2430521305;-151.37873834
2.94;-25.3537677227;-151.563146021
2.96;-25.4638290532;-151.745252701
2.98;-25.5732432259;-151.925100102
3.0;-25.6820172407;-152.102728969
3.02;-25.7901579956;-152.278179096
3.04;-25.8976722884;-152.451489357
3.06;-26.0045668183;-152.622697726
3.08;-26.1108481872;-152.791841307
3.1;-26.2165229017;-152.958956358
3.12;-26.3215973747;-153.124078312
3.14;-26.4260779265;-153.287241799
3.16;-26.529970787;-153.448480671
3.18;-26.6332820964;-153.607828024
3.2;-26.7360179075;-153.765316213
3.22;-26.8381841866;-153.920976879
3.24;-26.9397868151;-154.074840962
3.26;-27.040831591;-154.226938725
3.28;-27.1413242302;-154.377299768
3.3;-27.2412703678;-154.525953048
3.32;-27.3406755598;-154.672926896
3.34;-27.4395452839;-154.818249031
3.36;-27.5378849412;-154.961946579
3.38;-27.6356998572;-155.104046088
3.4;-27.7329952834;-155.244573542
3.42;-27.8297763982;-155.383554374
3.44;-27.9260483084;-155.521013485
3.46;-28.0218160499;-155.656975253
3.48;-28.1170845896;-155.791463548
3.5;-28.2118588261;-155.924501745
3.52;-28.3061435907;-156.056112738
3.54;-28.3999436488;-156.186318948
3.56;-28.4932637011;-156.31514234
3.58;-28.5861083843;-156.442604431
3.6;-28.6784822723;-156.5687263
3.62;-28.7703898773;-156.693528604
3.64;-28.861835651;-156.817031584
3.66;-28.952823985;-156.939255074
3.68;-29.0433592125;-157.060218518
3.7;-29.1334456088;-157.17994097
3.72;-29.2230873923;-157.298441111
3.74;-29.3122887257;-157.415737255
3.76;-29.4010537165;-157.531847358
3.78;-29.4893864182;-157.646789026
3.8;-29.5772908312;-157.760579524
3.82;-29.6647709033;-157.873235784
3.84;-29.7518305311;-157.984774414
3.86;-29.8384735603;-158.095211704
3.88;-29.9247037868;-158.204563632
3.9;-30.0105249576;-158.312845876
3.92;-30.0959407712;-158.420073816
3.94;-30.1809548788;-158.526262544
3.96;-30.2655708847;-158.631426871
3.98;-30.3497923475;-158.735581329
4.0;-30.4336227802;-158.838740183
4.02;-30.5170656515;-158.940917434
4.04;-30.6001243863;-159.042126825
4.06;-30.6828023661;-159.142381847
4.08;-30.7651029303;-159.241695746
4.1;-30.8470293762;-159.340081528
4.12;-30.9285849602;-159.437551961
4.14;-31.0097728981;-159.534119587
4.16;-31.0905963658;-159.62979672
4.18;-31.1710585001;-159.724595455
4.2;-31.2511623991;-159.818527672
4.22;-31.330911123;-159.911605041
4.24;-31.4103076942;-160.003839026
4.26;-31.4893550988;-160.09524089
4.28;-31.5680562861;-160.185821697
4.3;-31.64641417;-160.275592321
4.32;-31.724431629;-160.364563444
4.34;-31.8021115071;-160.452745568
4.36;-31.8794566141;-160.54014901
4.38;-31.9564697262;-160.626783912
4.4;-32.0331535866;-160.712660242
4.42;-32.1095109058;-160.797787799
4.44;-32.1855443622;-160.882176217
4.46;-32.2612566027;-160.965834966
4.48;-32.3366502428;-161.048773357
4.5;-32.4117278677;-161.131000545
4.52;-32.486492032;-161.212525533
4.54;-32.5609452609;-161.293357175
4.56;-32.6350900498;-161.373504176
4.58;-32.7089288657;-161.4529751
4.6;-32.7824641468;-161.53177837
4.62;-32.8556983033;-161.609922271
4.64;-32.928633718;-161.687414952
4.66;-33.001272746;-161.764264431
4.68;-33.0736177161;-161.840478595
4.7;-33.1456709302;-161.916065206
4.72;-33.2174346645;-161.991031901
4.74;-33.2889111692;-162.065386193
4.76;-33.3601026694;-162.139135476
4.78;-33.4310113651;-162.212287029
4.8;-33.5016394319;-162.284848014
4.82;-33.571989021;-162.35682548
4.84;-33.6420622597;-162.428226365
4.86;-33.7118612519;-162.499057502
4.88;-33.781388078;-162.569325612
4.9;-33.8506447959;-162.639037317
4.92;-33.9196334406;-162.708199133
4.94;-33.9883560249;-162.776817478
4.96;-34.0568145399;-162.84489867
4.98;-34.1250109548;-162.912448931
5.0;-34.1929472175;-162.979474388
5.02;-34.2606252551;-163.045981076
5.04;-34.3280469737;-163.111974937
5.06;-34.3952142591;-163.177461824
5.08;-34.4621289769;-163.242447502
5.1;-34.5287929727;-163.306937652
5.12;-34.5952080726;-163.370937867
5.14;-34.6613760833;-163.434453658
5.16;-34.7272987925;-163.497490455
5.18;-34.792977969;-163.560053608
5.2;-34.8584153629;-163.622148388
5.22;-34.9236127063;-163.683779988
5.24;-34.9885717129;-163.744953527
5.26;-35.0532940788;-163.805674046
5.28;-35.1177814825;-163.865946518
5.3;-35.1820355849;-163.92577584
5.32;-35.24605803;-163.98516684
5.34;-35.3098504449;-164.044124277
5.36;-35.37341444;-164.102652842
5.38;-35.4367516093;-164.160757157
5.4;-35.4998635303;-164.218441782
5.42;-35.5627517649;-164.27571121
5.44;-35.6254178589;-164.332569871
5.46;-35.6878633426;-164.389022132
5.48;-35.750089731;-164.445072301
5.5;-35.8120985235;-164.500724623
5.52;-35.8738912051;-164.555983288
5.54;-35.9354692456;-164.610852422
5.56;-35.9968341002;-164.6653361
5.58;-36.0579872098;-164.719438336
5.6;-36.1189300011;-164.773163092
5.62;-36.1796638865;-164.826514275
5.64;-36.2401902648;-164.879495737
5.66;-36.300510521;-164.932111281
5.68;-36.3606260265;-164.984364654
5.7;-36.4205381394;-165.036259557
5.72;-36.4802482047;-165.087799638
5.74;-36.5397575542;-165.138988496
5.76;-36.5990675069;-165.189829684
5.78;-36.6581793693;-165.240326706
5.8;-36.7170944351;-165.290483021
5.82;-36.7758139858;-165.340302038
5.84;-36.8343392905;-165.389787127
5.86;-36.8926716065;-165.438941609
5.88;-36.9508121788;-165.487768763
5.9;-37.008762241;-165.536271825
5.92;-37.0665230148;-165.584453989
5.94;-37.1240957105;-165.632318408
5.96;-37.1814815272;-165.679868192
5.98;-37.2386816524;-165.727106412
6.0;-37.295697263;-165.774036101
6.02;-37.3525295246;-165.820660251
6.04;-37.4091795922;-165.866981816
6.06;-37.46564861;-165.913003714
6.08;-37.5219377117;-165.958728822
6.1;-37.5780480206;-166.004159986
6.12;-37.6339806496;-166.04930001
6.14;-37.6897367016;-166.094151668
6.16;-37.7453172692;-166.138717695
6.18;-37.8007234354;-166.183000795
6.2;-37.8559562732;-166.227003636
6.22;-37.9110168457;-166.270728853
6.24;-37.9659062069;-166.314179049
6.26;-38.0206254007;-166.357356795
6.28;-38.0751754623;-166.40026463
6.3;-38.1295574172;-166.442905061
6.32;-38.1837722818;-166.485280564
6.34;-38.2378210637;-166.527393587
6.36;-38.2917047613;-166.569246545
6.38;-38.3454243643;-166.610841826
6.4;-38.3989808537;-166.652181788
6.42;-38.4523752019;-166.693268761
6.44;-38.5056083725;-166.734105047
6.46;-38.5586813211;-166.774692919
6.48;-38.6115949946;-166.815034624
6.5;-38.6643503318;-166.855132382
6.52;-38.7169482634;-166.894988387
6.54;-38.769389712;-166.934604805
6.56;-38.8216755922;-166.973983779
6.58;-38.8738068108;-167.013127424
6.6;-38.9257842667;-167.052037833
6.62;-38.9776088513;-167.090717071
6.64;-39.0292814483;-167.129167182
6.66;-39.0808029338;-167.167390184
6.68;-39.1321741764;-167.205388072
6.7;-39.1833960376;-167.243162819
6.72;-39.2344693715;-167.280716374
6.74;-39.2853950249;-167.318050663
6.76;-39.3361738375;-167.355167592
6.78;-39.3868066421;-167.392069042
6.8;-39.4372942645;-167.428756874
6.82;-39.4876375236;-167.465232929
6.84;-39.5378372313;-167.501499026
6.86;-39.5878941931;-167.537556962
6.88;-39.6378092075;-167.573408516
6.9;-39.6875830668;-167.609055444
6.92;-39.7372165564;-167.644499486
6.94;-39.7867104554;-167.67974236
6.96;-39.8360655366;-167.714785764
6.98;-39.8852825664;-167.749631379
7.0;-39.934362305;-167.784280866
7.02;-39.9833055063;-167.818735868
7.04;-40.0321129182;-167.852998011
7.06;-40.0807852827;-167.887068901
7.08;-40.1293233355;-167.920950126
7.1;-40.1777278065;-167.95464326
7.12;-40.2259994199;-167.988149855
7.14;-40.2741388939;-168.02147145
7.16;-40.3221469411;-168.054609565
7.18;-40.3700242684;-168.087565705
7.2;-40.417771577;-168.120341356
7.22;-40.4653895627;-168.152937991
7.24;-40.5128789155;-168.185357066
7.26;-40.5602403204;-168.217600021
7.28;-40.6074744567;-168.249668279
7.3;-40.6545819983;-168.281563252
7.32;-40.7015636142;-168.313286332
7.34;-40.7484199679;-168.344838901
7.36;-40.7951517177;-168.376222322
7.38;-40.8417595169;-168.407437945
7.4;-40.8882440137;-168.438487108
7.42;-40.9346058513;-168.469371132
7.44;-40.980845668;-168.500091325
7.46;-41.0269640971;-168.530648982
7.48;-41.0729617671;-168.561045384
7.5;-41.1188393016;-168.591281797
7.52;-41.1645973195;-168.621359477
7.54;-41.210236435;-168.651279665
7.56;-41.2557572576;-168.681043589
7.58;-41.3011603922;-168.710652464
7.6;-41.3464464391;-168.740107495
7.62;-41.3916159942;-168.769409872
7.64;-41.4366696486;-168.798560774
7.66;-41.4816079893;-168.827561367
7.68;-41.5264315988;-168.856412806
7.7;-41.571141055;-168.885116235
7.72;-41.615736932;-168.913672783
7.74;-41.6602197991;-168.942083572
7.76;-41.7045902217;-168.97034971
7.78;-41.7488487609;-168.998472294
7.8;-41.7929959737;-169.026452411
7.82;-41.837032413;-169.054291136
7.84;-41.8809586275;-169.081989535
7.86;-41.9247751621;-169.10954866
7.88;-41.9684825575;-169.136969556
7.9;-42.0120813506;-169.164253257
7.92;-42.0555720744;-169.191400784
7.94;-42.0989552578;-169.218413152
7.96;-42.1422314262;-169.245291363
7.98;-42.185401101;-169.27203641
8.0;-42.2284647997;-169.298649276
8.02;-42.2714230365;-169.325130936
8.04;-42.3142763215;-169.351482353
8.06;-42.3570251613;-169.377704483
8.08;-42.3996700589;-169.403798271
8.1;-42.4422115136;-169.429764653
8.12;-42.4846500214;-169.455604557
8.14;-42.5269860744;-169.481318901
8.16;-42.5692201616;-169.506908595
8.18;-42.6113527682;-169.532374539
8.2;-42.6533843763;-169.557717626
8.22;-42.6953154643;-169.58293874
8.24;-42.7371465075;-169.608038755
8.26;-42.7788779777;-169.633018539
