Nom	Position	Consigne variateur
Unite Ox	s	s
Unite Oy	mm	
Delta (Ox)	0,01	0,01
Delta (Oy)	-1,00	-1,00
Minimum (Ox)	0,00	0,00
Maximum (Ox)	0,80	0,80
Minimum (Oy)	0,00	-66,00
Maximum (Oy)	7,28	127,00
Indice du minimum (Oy)	0,00	17,00
Indice du maximum (Oy)	17,00	1,00
Nombre de points	100	100
0	0,00	8,00
1	0,06	127,00
2	0,23	127,00
3	0,51	127,00
4	0,88	119,00
5	1,34	107,00
6	1,91	92,00
7	2,52	76,00
8	3,18	53,00
9	3,84	35,00
10	4,50	17,00
11	5,09	1,00
12	5,69	-16,00
13	6,24	-35,00
14	6,68	-47,00
15	7,00	-57,00
16	7,20	-63,00
17	7,28	-66,00
18	7,26	-66,00
19	7,12	-62,00
20	6,88	-56,00
21	6,59	-48,00
22	6,27	-40,00
23	5,92	-28,00
24	5,58	-18,00
25	5,26	-9,00
26	4,96	-1,00
27	4,70	6,00
28	4,47	14,00
29	4,27	20,00
30	4,09	25,00
31	3,93	29,00
32	3,83	32,00
33	3,77	35,00
34	3,76	35,00
35	3,79	35,00
36	3,83	33,00
37	3,89	32,00
38	3,98	29,00
39	4,06	27,00
40	4,15	24,00
41	4,25	22,00
42	4,34	19,00
43	4,45	16,00
44	4,54	13,00
45	4,63	11,00
46	4,71	8,00
47	4,78	6,00
48	4,83	4,00
49	4,88	3,00
50	4,91	2,00
51	4,93	2,00
52	4,94	1,00
53	4,94	1,00
54	4,94	1,00
55	4,94	1,00
56	4,94	1,00
57	4,94	1,00
58	4,94	1,00
59	4,94	1,00
60	4,94	1,00
61	4,94	1,00
62	4,94	1,00
63	4,94	1,00
64	4,94	1,00
65	4,94	1,00
66	4,94	1,00
67	4,94	1,00
68	4,94	1,00
69	4,94	1,00
70	4,94	1,00
71	4,94	1,00
72	4,94	1,00
73	4,94	1,00
74	4,94	1,00
75	4,94	1,00
76	4,94	1,00
77	4,94	1,00
78	4,94	1,00
79	4,94	1,00
80	4,94	1,00
81	4,94	1,00
82	4,94	1,00
83	4,94	1,00
84	4,94	1,00
85	4,94	1,00
86	4,94	1,00
87	4,94	1,00
88	4,94	1,00
89	4,94	1,00
90	4,94	1,00
91	4,94	1,00
92	4,94	1,00
93	4,94	1,00
94	4,94	1,00
95	4,94	1,00
96	4,94	1,00
97	4,94	1,00
98	4,94	1,00
99	4,94	1,00
Position
Amplitude de l'échelon	5,00
Gain proportionnel	20,00
Manipulation	Correcteur proportionnel

Consigne variateur
Amplitude de l'échelon	5,00
Gain proportionnel	20,00
Manipulation	Correcteur proportionnel

