	temps		x		y	z
2	0,002	-4	-0,04	3	0,03	0,98
52	0,052	0	0	-1	-0,01	1,01
102	0,102	-1	-0,01	1	0,01	0,99
152	0,152	-1	-0,01	1	0,01	0,97
203	0,203	-1	-0,01	1	0,01	0,99
253	0,253	-2	-0,02	2	0,02	1,02
302	0,302	-2	-0,02	2	0,02	1
352	0,352	-2	-0,02	1	0,01	1
403	0,403	-1	-0,01	2	0,02	0,99
453	0,453	-1	-0,01	3	0,03	1
503	0,503	-1	-0,01	2	0,02	0,99
553	0,553	-1	-0,01	3	0,03	0,99
603	0,603	-1	-0,01	3	0,03	0,99
654	0,654	3	0,03	0	0	1,01
704	0,704	2	0,02	1	0,01	1,01
754	0,754	-1	-0,01	1	0,01	1
804	0,804	1	0,01	0	0	1,01
854	0,854	-1	-0,01	3	0,03	1
905	0,905	-1	-0,01	3	0,03	1
955	0,955	-1	-0,01	2	0,02	1,01
1004	1,004	-1	-0,01	1	0,01	0,99
1054	1,054	-3	-0,03	2	0,02	0,98
1105	1,105	-2	-0,02	2	0,02	1,01
1155	1,155	0	0	1	0,01	1
1205	1,205	1	0,01	1	0,01	1
1255	1,255	0	0	2	0,02	1
1305	1,305	0	0	2	0,02	0,99
1356	1,356	1	0,01	2	0,02	1
1406	1,406	1	0,01	2	0,02	1
1456	1,456	0	0	2	0,02	0,99
1506	1,506	0	0	2	0,02	1,01
1557	1,557	-1	-0,01	2	0,02	1
1607	1,607	-1	-0,01	2	0,02	1
1656	1,656	-2	-0,02	2	0,02	1
1706	1,706	-1	-0,01	2	0,02	1
1756	1,756	-1	-0,01	3	0,03	1
1807	1,807	-1	-0,01	3	0,03	0,99
1857	1,857	0	0	2	0,02	1
1907	1,907	0	0	2	0,02	1
1958	1,958	0	0	2	0,02	1
2008	2,008	0	0	2	0,02	0,99
2058	2,058	0	0	3	0,03	1
2108	2,108	1	0,01	2	0,02	1
2158	2,158	0	0	2	0,02	1
2208	2,208	0	0	3	0,03	0,99
2259	2,259	1	0,01	2	0,02	1
2309	2,309	0	0	3	0,03	0,99
2359	2,359	1	0,01	2	0,02	1
2409	2,409	2	0,02	2	0,02	1,01
2460	2,46	0	0	3	0,03	0,99
2510	2,51	1	0,01	3	0,03	1
2559	2,559	1	0,01	3	0,03	1
2609	2,609	0	0	3	0,03	1
2659	2,659	1	0,01	3	0,03	1
2720	2,72	0	0	3	0,03	0,99
2813	2,813	0	0	3	0,03	1
2833	2,833	0	0	3	0,03	0,99
2852	2,852	0	0	2	0,02	1
2872	2,872	0	0	3	0,03	0,99
2892	2,892	0	0	3	0,03	0,99
2913	2,913	0	0	3	0,03	1
2933	2,933	0	0	4	0,04	1
2953	2,953	0	0	4	0,04	1
2973	2,973	0	0	3	0,03	1
2993	2,993	1	0,01	2	0,02	1
3014	3,014	1	0,01	2	0,02	0,99
3034	3,034	0	0	3	0,03	1
3053	3,053	0	0	4	0,04	1
3073	3,073	0	0	4	0,04	1
3094	3,094	1	0,01	3	0,03	0,99
3114	3,114	2	0,02	2	0,02	1
